slug	rawpath	technique	family	severity	tags	source_sha256	review_status
dns-rebinding	Web attacks/Web Attacks/DNS Rebinding.md	DNS Rebinding	ssrf-xxe-file	medium	DNS,403,SSRF,Same Origin Policy	6c77425d6e153bbd84c2096eeabd8705932d1045b93e3aed6074a7d8495df0a4	imported-unreviewed
dns-rebinding-dns-rebinding-same-origin-policy-bypass	Web attacks/Web Attacks/DNS Rebinding/DNS Rebinding Same-Origin Policy Bypass.md	DNS Rebinding: Same-Origin Policy Bypass	ssrf-xxe-file	medium		dd26b5b6e2cf4735e81daad0d8578aaf37a364868f54c4b64dc546ec3f8adb77	imported-unreviewed
dns-rebinding-dns-rebinding-ssrf-filter-bypass	Web attacks/Web Attacks/DNS Rebinding/DNS Rebinding SSRF Filter Bypass.md	DNS Rebinding: SSRF Filter Bypass	ssrf-xxe-file	high		66930eaadcce1c9efdbe2a94c7bb1b18d32dc30840d1e4feaddfe1ea059dafd8	imported-unreviewed
dns-rebinding-ssrf-basic-filter-bypasses	Web attacks/Web Attacks/DNS Rebinding/SSRF Basic Filter Bypasses.md	SSRF Basic Filter Bypasses	ssrf-xxe-file	high		c444a1baf8e8e4c10391d610635e0df0d03f7f9ae600ee9970c35ce1045e5ffa	imported-unreviewed
dns-rebinding-tools-and-prevention	Web attacks/Web Attacks/DNS Rebinding/Tools & Prevention.md	Tools & Prevention	ssrf-xxe-file	medium		48531549c3d547aa71d1d817865623b98fc41d4d7c6033e93f2f649c0fc295b9	imported-unreviewed
dom-vulnerabilities	Web attacks/Web Attacks/DOM Vulnerabilities.md	DOM Vulnerabilities	client-side	medium	DOM,JavaScript,XSS,Open Redirect,SQL Injection,Session Tokens,Authentication,Web Sockets,DoS	56ca611b869b73d7be3ec4573e6cb42ae081ceb339ab362d5d63b8aaad27cc56	imported-unreviewed
ffuf	ffuf.md	ffuf	misc	medium		f97c4d5666b3319afef5b96772545f3dc9a3da85ae26e9fb76d7aea10bc835c3	imported-unreviewed
file-upload	Web attacks/Web Attacks/File Upload.md	File Upload	ssrf-xxe-file	critical	File Upload,Authentication,Remote Code Execution,Account Takeover,XSS,JavaScript,PHP,Deserialization,HTTP,XXE,XML,LFI	06cc034f3a9d27f4e2197142cf7c580a8508c121eb00b92018e3092163e017e6	imported-unreviewed
http-attacks	Web attacks/Web Attacks/HTTP Attacks.md	HTTP Attacks	http-protocol	medium	HTTP,Request Smuggling,Password Reset,CRLF,Host-Header,PHP,Authentication,TLS,CORS,XSS,SSRF,JavaScript	c2dcb4fa19470ef437283e87bf99daa1230e05fa64254fa182508d466baf2137	imported-unreviewed
http-attacks-crlf-injection-and-response-splitting	Web attacks/Web Attacks/HTTP Attacks/CRLF Injection & Response splitting.md	CRLF Injection & Response splitting	http-protocol	medium		b40c443a2f07521b0dc380b88bb57ab9ba1861338473e3ba18b5f887166e46ae	imported-unreviewed
